SOURCE,INDEX_COL,ID,NAME,URL
Artist,27,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,https://api.spotify.com/v1/artists/4yvcSjfu4PC0CYQyLy4wSq
Artist,28,26VFTg2z8YR0cCuwLzESi2,Halsey,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2
Artist,29,6KImCVD70vtIoJWnq6nGn3,Harry Styles,https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3
Artist,30,2FXC3k01G6Gw61bmprjgqS,Hozier,https://api.spotify.com/v1/artists/2FXC3k01G6Gw61bmprjgqS
Artist,31,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,https://api.spotify.com/v1/artists/53XhwfbYqKCa1cC15pYq2q
Artist,32,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5
Artist,33,4IWBUUAFIplrNtaOHcJPRM,James Arthur,https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM
Artist,34,5y2Xq6xcjJb2jVM54GHK3t,John Legend,https://api.spotify.com/v1/artists/5y2Xq6xcjJb2jVM54GHK3t
Artist,35,0rvjqX7ttXeg3mTy8Xscbt,Journey,https://api.spotify.com/v1/artists/0rvjqX7ttXeg3mTy8Xscbt
Artist,36,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,https://api.spotify.com/v1/artists/4MCBfE4596Uoi2O4DtmEMz
Artist,37,6HaGTQPmzraVmaVxvz6EUc,Jung Kook,https://api.spotify.com/v1/artists/6HaGTQPmzraVmaVxvz6EUc
Artist,38,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,https://api.spotify.com/v1/artists/1uNFoZAHBGtllmzznpCI3s
Artist,39,1U1el3k54VvEUzo3ybLPlM,Kali Uchis,https://api.spotify.com/v1/artists/1U1el3k54VvEUzo3ybLPlM
Artist,40,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,https://api.spotify.com/v1/artists/2YZyLoL8N0Wb9xBt1NhZWg
Artist,41,6LuN9FCkKOj5PcnpouEgny,Khalid,https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny
Artist,42,6TK7fjRPdy2GW2pJzNF23L,Kyla,https://api.spotify.com/v1/artists/6TK7fjRPdy2GW2pJzNF23L
Artist,43,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms
Artist,44,3MdXrJWsbVzdn6fe5JYkSQ,Latto,https://api.spotify.com/v1/artists/3MdXrJWsbVzdn6fe5JYkSQ
Artist,45,1jiZvw42D4oquLl24x2VWV,Lefty Gunplay,https://api.spotify.com/v1/artists/1jiZvw42D4oquLl24x2VWV
Artist,46,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,https://api.spotify.com/v1/artists/4GNC7GD6oZMSxPGyXy4MNB
Artist,47,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,https://api.spotify.com/v1/artists/6XyY86QOPPrYVGvF9ch6wz
